timestamp,value
2013-07-01 00:00:00,1.981647687
2013-07-01 08:00:00,2.966682033
2013-07-01 16:00:00,2.161258696
2013-07-02 00:00:00,2.23032102
2013-07-02 08:00:00,2.574968501
2013-07-02 16:00:00,2.593571273
2013-07-03 00:00:00,2.52985601
2013-07-03 08:00:00,3.112131085
2013-07-03 16:00:00,2.922016317
2013-07-04 00:00:00,2.476227971
2013-07-04 08:00:00,2.951548698
2013-07-04 16:00:00,2.694386941
2013-07-05 00:00:00,2.196279523
2013-07-05 08:00:00,2.046483698
2013-07-05 16:00:00,2.558984409
2013-07-06 00:00:00,2.164650062
2013-07-06 08:00:00,2.017710776
2013-07-06 16:00:00,2.053689787
2013-07-07 00:00:00,2.365646305
2013-07-07 08:00:00,1.652130021
2013-07-07 16:00:00,1.662345101
2013-07-08 00:00:00,1.532119995
2013-07-08 08:00:00,2.035578848
2013-07-08 16:00:00,2.262511195
2013-07-09 00:00:00,1.999395652
2013-07-09 08:00:00,2.705246432
2013-07-09 16:00:00,2.657982531
2013-07-10 00:00:00,1.932448579
2013-07-10 08:00:00,2.389823685
2013-07-10 16:00:00,2.523425122
